w_B,w_RS,w_DeltaQ0,w_Uzzi,w_RTD,w_BurtIP,w_PDE,cv_spearman,cv_spearman_delta_vs_equal
0.00324585,0.31153442,0.07112348,0.1677354,0.31432075,0.09388368,0.03815643,0.2256304976465118,0.04410288284101019
0.27904046,0.1606297,0.02678783,0.00251881,0.09296052,0.43057439,0.0074883,0.06495665510523632,-0.11657095970026529
0.1318853,0.11272731,0.26150571,0.03485335,0.03697675,0.23070775,0.19134384,0.1654899539426533,-0.016037660862848302
0.00223657,0.02085412,0.35655954,0.164406,0.33647131,0.01601123,0.10346122,0.3018511558716142,0.1203235410661126
0.09256266,0.04381592,0.23691976,0.05300479,0.33760579,0.02258812,0.21350296,0.2595798899066035,0.07805227510110191
0.16145936,0.27359461,0.10069074,0.02349753,0.06061304,0.19624296,0.18390176,0.15697982515954895,-0.024547789645952667
0.09124689,0.03377357,0.08008582,0.18221084,0.36132242,0.13238108,0.11897939,0.2118179013005297,0.030290286495028074
0.25090117,0.21451294,0.0876227,0.15155889,0.10350739,0.08479837,0.10709854,0.15836012157646648,-0.023167493229035135
0.16603823,0.45510259,0.13956903,0.09433496,0.0777977,0.04675691,0.02040059,0.19104935745332868,0.00952174264782707
0.26975226,0.07157932,0.08676199,0.06273456,0.17650084,0.29023321,0.04243783,0.10410092677338338,-0.07742668803211823
0.00777306,0.02853991,0.0640756,0.27403526,0.07477438,0.29457183,0.25622996,0.1444886323300735,-0.03703898247542811
0.11930019,0.18843287,0.05113575,0.47163035,0.00358036,0.08146119,0.08445929,0.14119421742524568,-0.04033339738025593
0.31718933,0.02483029,0.07184678,0.09367022,0.31599053,0.03886828,0.13760456,0.17863658992810794,-0.0028910248773936775
0.05680843,0.16895204,0.04088405,0.20910323,0.10881651,0.19698816,0.21844757,0.16248034377456244,-0.019047271030939172
0.00663836,0.07811805,0.08326617,0.14718415,0.02259624,0.60934963,0.05284738,0.06558049106940292,-0.1159471237360987
0.10424181,0.01749444,0.14401926,0.01258059,0.01036787,0.66613359,0.04516245,0.05506819158844757,-0.12645942321705406
0.11147008,0.02013522,0.34637326,0.19364365,0.14300078,0.02284498,0.16253203,0.22069482777241156,0.03916721296690995
0.40987134,0.08001752,0.12320634,0.23911586,0.10452162,0.02216961,0.02109771,0.1147578026025565,-0.06676981220294512
0.01972953,0.04589468,0.02118215,0.36318626,0.2504831,0.0725279,0.22699637,0.2082119542901716,0.02668433948467
0.09714897,0.36932775,0.01690407,0.27757918,0.10222543,0.01536843,0.12144617,0.18094844316981226,-0.0005791716356893517
0.09137506,0.01192729,0.14223138,0.01355894,0.19683488,0.18224634,0.3618261,0.19512652406619097,0.013598909260689351
0.00250108,0.28006169,0.17579837,0.2620045,0.02276651,0.07049162,0.18637623,0.20996019592610984,0.02843258112060823
0.25243691,0.01413539,0.09377515,0.01318424,0.13749091,0.06254211,0.42643529,0.17579638084681057,-0.0057312339586910455
0.40665297,0.03042718,0.02065769,0.00657703,0.15190737,0.21200218,0.17177558,0.08991163096218346,-0.09161598384331815
0.08272093,0.30543197,0.09194426,0.13302449,0.03809956,0.13734043,0.21143836,0.17173177639481876,-0.00979583841068285
0.12956785,0.12430668,0.10550712,0.05215619,0.41000808,0.09068544,0.08776863,0.22166390613148348,0.04013629132598187
0.13852726,0.07441893,0.09942758,0.13212831,0.21492602,0.08099335,0.25957856,0.20234748839490402,0.020819873589402405
0.31614586,0.11930817,0.25989679,0.0504492,0.10049986,0.12986286,0.02383725,0.1438731773550006,-0.03765443745050101
0.06063174,0.45227982,0.08391676,0.12161226,0.00179291,0.21312999,0.06663652,0.15565021629871698,-0.025877398506784638
0.11469273,0.10880683,0.0442553,0.32719313,0.13004921,0.19310601,0.08189678,0.1412629151456938,-0.04026469965980781
0.25841167,0.00807287,0.05326822,0.06434817,0.03974919,0.03833444,0.53781545,0.15808139070342572,-0.02344622410207589
0.15547402,0.3792911,0.09951718,0.14836204,0.07158288,0.12725549,0.0185173,0.1680524481213572,-0.013475166684144418
0.0941656,0.10430974,0.48134645,0.10395068,0.11354007,0.03372482,0.06896264,0.19781299093744653,0.016285376131944918
0.07980231,0.12547847,0.31651347,0.01508974,0.10582838,0.07879419,0.27849344,0.22190554817490632,0.040377933369404706
0.07661497,0.24034811,0.32713887,0.11478257,0.00453579,0.10108444,0.13549525,0.20489381448328434,0.023366199677782723
0.02554695,0.03194732,0.0294445,0.10618042,0.37294788,0.31580961,0.11812332,0.17433802164012863,-0.007189593165372987
0.01498169,0.61557629,0.03459431,0.09707616,0.00530921,0.11119085,0.12127149,0.1542156634279646,-0.027311951377537003
0.30296413,0.12765333,0.1744112,0.18046955,0.00835811,0.11750599,0.0886377,0.12465247409801611,-0.056875140707485505
0.21297582,0.17309959,0.36252395,0.03388265,0.00680136,0.10332926,0.10738737,0.17384945652049713,-0.007678158285004483
0.21061895,0.11574543,0.08754464,0.02385301,0.16802242,0.07241913,0.32179642,0.1830282442277027,0.001500629422201083
0.29199327,0.02178032,0.2853467,0.01202988,0.15458002,0.20129688,0.03297293,0.13827138132604203,-0.04325623347945959
0.1156729,0.02394896,0.35163636,0.15284613,0.24790416,0.05752662,0.05046488,0.22113989885820778,0.03961228405270617
0.2598582,0.04208305,0.23990623,0.16357984,0.04691906,0.23336021,0.01429342,0.10956189014493987,-0.07196572466056174
